Short Name,Long Name,Vendor,WOSO URL,MOSO URL
Rowan,Rowan University,Sidearm,https://www.rowanathletics.com/sports/womens-soccer,https://www.rowanathletics.com/sports/mens-soccer
Rutgers-Camden,"Rutgers University, Camden",Sidearm,https://scarletraptors.com/sports/womens-soccer,https://scarletraptors.com/sports/mens-soccer
Rutgers-Newark,"Rutgers University, Newark",Sidearm,https://scarletknights.com/sports/womens-soccer,https://scarletknights.com/sports/mens-soccer/stats
Stockton,Stockton University,Sidearm,https://stocktonathletics.com/sports/womens-soccer,https://keanathletics.com/sports/mens-soccer/opponent-history/stockton-university/224
TCNJ,The College of New Jersey,Sidearm,https://tcnjathletics.com/sports/womens-soccer,http://www.tcnjsportscamps.com/mens-soccer/
William Paterson,William Paterson University,Sidearm,https://www.wpupioneers.com/sports/womens-soccer,https://njcugothicknights.com/sports/mens-soccer/opponent-history/william-paterson-university/8
Husson,Husson University,Sidearm,https://hussoneagles.com/sports/womens-soccer,https://hussoneagles.com/sports/mens-soccer
Maine Maritime,Maine Maritime Academy,Sidearm,https://marinersports.org/sports/womens-soccer,https://athletics.bowdoin.edu/sports/mens-soccer/opponent-history/maine-maritime-academy/74
Me.-Farmington,"University of Maine, Farmington",Sidearm,https://goumfbeavers.com/sports/womens-soccer,https://goumfbeavers.com/sports/mens-soccer
Me.-Presque Isle,University of Maine at Presque Isle,Sidearm,https://owls.umpi.edu/news/2024/9/1/womens-soccer-owls-start-off-2024-season-on-a-great-foot.aspx,https://owls.umpi.edu/sports/mens-soccer
Thomas (ME),Thomas College,Sidearm,https://athletics.thomas.edu/sports/womens-soccer,https://goumfbeavers.com/sports/mens-soccer/opponent-history/thomas-college/125
Eastern Nazarene,Eastern Nazarene College,PrestoSports,None,None
Lesley,Lesley University,PrestoSports,None,None
Cazenovia,Cazenovia College,Sidearm,None,https://oneontaathletics.com/sports/mens-soccer/opponent-history/cazenovia-college/289
SUNY Canton,SUNY Canton,Sidearm,https://rooathletics.com/sports/womens-soccer,https://athletics.elmira.edu/sports/mens-soccer/opponent-history/suny-canton/44
SUNY Poly,SUNY Polytechnic Institute,PrestoSports,None,None
Suny-Cobleskill,"SUNY, Cobleskill",Sidearm,https://athletics.elmira.edu/sports/womens-soccer/opponent-history/suny-cobleskill/260,https://westfield.presence.io/event/mens-soccer-v-suny-cobleskill
Johnson St.,Johnson State College,PrestoSports,https://vtsuhornets.com/sports/womens-soccer,https://vtsuhornets.com/sports/mens-soccer
Lyndon St.,Lyndon State College,Sidearm,https://vtsuhornets.com/sports/womens-soccer,https://castletonsports.com/sports/mens-soccer/opponent-history/vermont-state-university-lyndon/104
DePauw,DePauw University,Sidearm,https://depauwtigers.com/sports/womens-soccer,https://depauwtigers.com/news/2024/9/1/mens-soccer-tigers-shutout-mountaineers-in-5-0-home-opener.aspx
Wabash,Wabash College,Sidearm,None,https://depauwtigers.com/sports/mens-soccer/opponent-history/wabash-college/215
Denison,Denison University,Sidearm,https://denisonbigred.com/sports/womens-soccer,https://denisonbigred.com/sports/mens-soccer
Hiram,Hiram College,Sidearm,https://hiramterriers.com/sports/womens-soccer,https://hiramterriers.com/sports/mens-soccer
Kenyon,Kenyon College,Sidearm,https://athletics.kenyon.edu/news/2024/6/10/womens-soccer-bryan-resigns-from-womens-soccer-post.aspx,https://denisonbigred.com/sports/mens-soccer/opponent-history/kenyon-college/62
Oberlin,Oberlin College,Sidearm,https://goyeo.com/sports/womens-soccer,https://jcusports.com/news/2024/8/30/mens-soccer-match-preview-john-carroll-university-vs-oberlin-college.aspx
Ohio Wesleyan,Ohio Wesleyan University,Sidearm,https://prideofthebishops.owu.edu/?sports=womens-soccer,https://athletics.wesleyan.edu/sports/mens-soccer/opponent-history/ohio-wesleyan-university/358
Wittenberg,Wittenberg University,PrestoSports,None,None
Wooster,College of Wooster,PrestoSports,None,https://woostermenssoccercamp.com/
Aurora,Aurora University,Sidearm,https://athletics.aurora.edu/sports/womens-soccer,https://niuhuskies.com/sports/mens-soccer/opponent-history/aurora-university/6
Benedictine (IL),Benedictine University,Sidearm,https://benuredhawks.com/sports/womens-soccer,https://benuredhawks.com/sports/mens-soccer
Concordia Chicago,Concordia University Chicago,Sidearm,https://www.cucougars.com/sports/womens-soccer,https://www.cucougars.com/sports/mens-soccer
Dominican (IL),Dominican University (Ill.),Sidearm,https://dustars.com/sports/womens-soccer,https://dustars.com/sports/mens-soccer
Illinois Tech,Illinois Tech,Sidearm,https://illinoistechathletics.com/sports/womens-soccer,https://illinoistechathletics.com/sports/mens-soccer
Rockford,Rockford University,Sidearm,https://rockfordregents.com/sports/womens-soccer,https://rockfordregents.com/sports/2021/5/28/mens-soccer-recruit-form.aspx
Concordia (Wis.),Concordia University Wisconsin,PrestoSports,None,None
Edgewood,Edgewood College,Sidearm,https://edgewoodcollegeeagles.com/sports/womens-soccer,https://edgewoodcollegeeagles.com/sports/mens-soccer
Lakeland,Lakeland College,Sidearm,https://lakelandmuskies.com/sports/womens-soccer,https://lakelandmuskies.com/sports/mens-soccer
Marian (WI),Marian University,Sidearm,https://sabreathletics.com/sports/womens-soccer,https://sabreathletics.com/sports/mens-soccer/archives
Milwaukee Engr.,Milwaukee School of Engineering,Sidearm,https://msoeraiders.com/sports/womens-soccer,https://msoeraiders.com/sports/mens-soccer
St. Norbert,St. Norbert College,Sidearm,https://athletics.snc.edu/sports/womens-soccer,https://calvinknights.com/sports/mens-soccer/opponent-history/st-norbert-college/223
Wis. Lutheran,Wisconsin Lutheran College,Sidearm,https://wlcsports.com/sports/womens-soccer,https://wlcsports.com/sports/mens-soccer
George Fox,George Fox University,Sidearm,https://athletics.georgefox.edu/sports/womens-soccer,https://digitalcommons.georgefox.edu/athletics_mensoccer/
Lewis & Clark,Lewis & Clark College,None,None,None
Linfield,Linfield College,Sidearm,https://golinfieldwildcats.com/sports/womens-soccer,https://www.linfieldsoccercamps.com/mens-soccer-camps.cfm
Pacific (OR),Pacific University,Sidearm,https://pacifictigers.com/sports/womens-soccer/stats/,https://pacifictigers.com/sports/mens-soccer
Willamette,Willamette University,PrestoSports,None,None
Pacific Lutheran,Pacific Lutheran University,Sidearm,https://golutes.com/sports/womens-soccer,https://calendar.plu.edu/event/pacific-lutheran-university-mens-soccer-vs-george-fox-university
Puget Sound,University of Puget Sound,Sidearm,https://loggerathletics.com/sports/womens-soccer,https://gohuskies.com/sports/mens-soccer/opponent-history/university-of-puget-sound/394
Whitman,Whitman College,Sidearm,https://athletics.whitman.edu/sports/womens-soccer,https://mens.whitmansoccercamps.com/
Whitworth,Whitworth University,Sidearm,https://publicforms.whitworth.edu/athletics/womens-soccer-registration/,https://loggerathletics.com/sports/mens-soccer/opponent-history/whitworth-university/81
Baldwin Wallace,Baldwin Wallace University,Sidearm,https://bwyellowjackets.com/sports/womens-soccer,https://bwyellowjackets.com/sports/mens-soccer
Capital,Capital University,Sidearm,https://athletics.capital.edu/sports/womens-soccer,https://discovercollegesoccer.com/capital-university-mens-soccer-coach-corey-kirk/
Heidelberg,Heidelberg University,Sidearm,https://www.bergathletics.com/sports/womens-soccer,https://bergathletics.com/sports/mens-soccer
John Carroll,John Carroll University,Sidearm,https://jcusports.com/sports/womens-soccer,https://athletics.kenyon.edu/sports/mens-soccer/stats/2024/john-carroll-university/boxscore/7372
Marietta,Marietta College,Sidearm,https://pioneers.marietta.edu/sports/womens-soccer/archives,https://pioneers.marietta.edu/sports/mens-soccer
Mount Union,Mount Union College,Sidearm,https://athletics.mountunion.edu/sports/womens-soccer,https://athletics.mountunion.edu/news/2024/5/29/mens-soccer-mount-union-to-host-summer-id-camp-july-21.aspx
Muskingum,Muskingum University,PrestoSports,None,https://menssoccer.fightingmuskiescamps.com/
Ohio Northern,Ohio Northern University,PrestoSports,None,None
Otterbein,Otterbein University,Sidearm,https://www.otterbeinwomenssoccer.com/,https://www.otterbein.edu/news/mens-soccer-wins-ohio-athletic-conference-regular-season-outright/
Wilmington (OH),Wilmington College,Sidearm,https://wilmingtonquakers.com/sports/womens-soccer,https://wilmingtonquakers.com/sports/mens-soccer
Guilford,Guilford College,Sidearm,https://guilfordquakers.com/sports/womens-soccer,https://www.ferrum.edu/event/mens-soccer-at-guilford-college/
Averett,Averett University,Sidearm,https://averettcougars.com/sports/womens-soccer,https://www.averett.edu/event/averett-university-mens-soccer-vs-william-peace-university/
Bridgewater (VA),Bridgewater College,Sidearm,https://www.rmc.edu/event/randolph-macon-college-womens-soccer-at-bridgewater-college/,https://bridgewatereagles.com/sports/mens-soccer
East. Mennonite,Eastern Mennonite University,Sidearm,https://emuroyals.com/sports/womens-soccer,https://randolphwildcats.com/sports/mens-soccer/opponent-history/eastern-mennonite-university/18
Ferrum,Ferrum College,Sidearm,https://ferrumpanthers.com/sports/womens-soccer,https://ferrumpanthers.com/news/2024/8/30/mens-soccer-ferrum-men-dominate-in-opening-day-victory.aspx
Hampden-Sydney,Hampden-Sydney College,Sidearm,None,https://hscathletics.com/sports/mens-soccer
Lynchburg,University of Lynchburg,Sidearm,https://lynchburgsports.com/sports/womens-soccer,https://lynchburgsports.com/sports/2023/10/2/register-for-lynchburg-mens-soccers-2024-summer-id-camp.aspx
Randolph,Randolph College,Sidearm,https://randolphwildcats.com/sports/womens-soccer,https://randolphwildcats.com/sports/mens-soccer
Randolph-Macon,Randolph-Macon College,Sidearm,https://rmcathletics.com/sports/womens-soccer,https://www.rmc.edu/event/randolph-macon-college-mens-soccer-at-virginia-wesleyan-university/
Roanoke,Roanoke College,Sidearm,https://roanokemaroons.com/sports/womens-soccer,https://roanokemaroons.com/sports/mens-soccer
Shenandoah,Shenandoah University,Sidearm,https://suhornets.com/sports/womens-soccer,https://www.suhornetsmenssoccercamps.com/
Virg-Wesleyan,Virginia Wesleyan College,Sidearm,https://wesleyanbobcats.com/sports/womens-soccer,https://wesleyanbobcats.com/sports/mens-soccer
Wash. & Lee,Washington and Lee University,Sidearm,https://generalssports.com/sports/womens-soccer,https://gopetrels.com/sports/mens-soccer/opponent-history/washington-and-lee-university/4
Franciscan,Franciscan Univ. of Steubenville,Sidearm,https://franciscanathletics.com/sports/womens-soccer,https://franciscanathletics.com/sports/mens-soccer
Chatham,Chatham University,Sidearm,https://gochathamcougars.com/sports/womens-soccer,https://gochathamcougars.com/sports/mens-soccer
Geneva,Geneva College,Sidearm,https://athletics.geneva.edu/sports/womens-soccer,https://menssoccer.genevasportscamps.com/
Grove City,Grove City College,Sidearm,https://athletics.gcc.edu/sports/womens-soccer,https://athletics.gcc.edu/sports/mens-soccer
St. Vincent,Saint Vincent College,Sidearm,https://umsvathletics.com/sports/womens-soccer,https://umsvathletics.com/sports/mens-soccer/archives
Thiel,Thiel College,Sidearm,https://thielathletics.com/sports/womens-soccer/archives,https://thielathletics.com/sports/mens-soccer
Wash. & Jeff.,Washington and Jefferson College,Sidearm,https://gopresidents.com/sports/womens-soccer,https://www.washjeff.edu/event/washington-jefferson-college-mens-soccer-at-westminster/
Waynesburg,Waynesburg University,Sidearm,https://waynesburgsports.com/sports/womens-soccer,https://waynesburgsports.com/news/2024/8/26/mens-soccer-season-preview-2024-mens-soccer.aspx
Westminster (PA),Westminster College (Pa.),Sidearm,https://westminstergriffins.com/sports/womens-soccer/archives,https://westminstergriffins.com/sports/mens-soccer
Bethany (WV),Bethany College,PrestoSports,https://blcvikings.com/sports/womens-soccer,https://www.bethanywv.edu/matt-wolf-tabbed-head-coach-of-bethany-mens-soccer/
Farmingdale St.,Farmingdale State College,Sidearm,https://farmingdalesports.com/sports/womens-soccer,https://farmingdalesports.com/news/2024/8/31/mens-soccer-vs-eastern-connecticut.aspx
Manhattanville,Manhattanville College,Sidearm,https://govaliants.com/sports/womens-soccer,https://govaliants.com/sports/mens-soccer
Merchant Marine,U.S. Merchant Marine Academy,Sidearm,None,None
Mt. St. Mary (NY),Mount Saint Mary College,Sidearm,https://mountathletics.com/sports/womens-soccer,https://mountathletics.com/sports/mens-soccer/archives
Mt. St. Vincent,University of Mount Saint Vincent,Sidearm,https://umsvathletics.com/sports/womens-soccer/archives,https://umsvathletics.com/sports/mens-soccer
Purchase,Purchase College-SUNY,Sidearm,https://www.purchasecollegeathletics.com/sports/womens-soccer,https://www.purchasecollegeathletics.com/sports/mens-soccer
SUNY Maritime,SUNY Maritime College,Sidearm,https://maritimeathletics.com/sports/womens-soccer,https://sunymaritime.edu/news-events/mens-soccer-named-skyline-conference-champions
Sarah Lawrence,Sarah Lawrence College,Sidearm,https://gogryphons.com/sports/womens-soccer,https://gogryphons.com/sports/mens-soccer
St. Joseph's (Brkln),"St. Joseph's University, New York (Brooklyn)",Sidearm,https://sjbkathletics.com/sports/womens-soccer,https://www.brooklyncollegeathletics.com/sports/mens-soccer/stats/2024/st-josephs-university-brooklyn/boxscore/5623
St. Joseph's (L.I.),St. Joseph's University (Long Island),Sidearm,https://sjliathletics.com/sports/womens-soccer,https://bvmsports.com/ncaa/st-josephs-long-island-ny/mens-soccer/
Suny-Old-Westbury,"SUNY, Old Westbury",Sidearm,https://www.oldwestburypanthers.com/sports/womens-soccer,https://www.oldwestburypanthers.com/sports/mens-soccer
Yeshiva,Yeshiva University,Sidearm,https://yumacs.com/sports/womens-soccer,https://msmcknights.com/sports/mens-soccer/opponent-history/yeshiva-university/8
Emory & Henry,Emory and Henry College,PrestoSports,None,None
Birmingham-So.,Birmingham-Southern College,Sidearm,https://bscsports.net/sports/womens-soccer,https://bscsports.net/sports/mens-soccer
Hendrix,Hendrix College,Sidearm,https://www.hendrixsoccercamps.com/womens-college-id-camp.cfm,https://hendrixwarriors.com/sports/mens-soccer
Berry,Berry College,Sidearm,https://www.berryvikings.com/sports/womens-soccer,https://www.berrysoccercamps.com/berry-mens-soccer-id-camp.cfm
Oglethorpe,Oglethorpe University,Sidearm,https://roanokemaroons.com/sports/womens-soccer/stats/2024/oglethorpe-university/boxscore/8869,https://gopetrels.com/sports/mens-soccer
Centre,Centre College,Sidearm,https://centrecolonels.com/sports/womens-soccer,https://cal.berry.edu/event/berry_college_mens_soccer_at_centre_college
Millsaps,Millsaps College,Sidearm,https://gomajors.com/sports/womens-soccer,https://blazers.belhaven.edu/sports/mens-soccer/opponent-history/millsaps-college/2
Rhodes,Rhodes College,Sidearm,https://rhodeslynx.com/sports/womens-soccer,https://rhodeslynx.com/sports/mens-soccer
Sewanee,The University of the South,Sidearm,https://sewaneetigers.com/sports/womens-soccer,https://sewaneetigers.com/sports/mens-soccer
Cal Lutheran,California Lutheran University,Sidearm,https://clusports.com/sports/womens-soccer,https://clusports.com/sports/mens-soccer
Caltech,California Institute of Technology,Sidearm,https://gocaltech.com/sports/womens-soccer,https://gocaltech.com/sports/mens-soccer
Chapman,Chapman University,Sidearm,https://athletics.chapman.edu/sports/womens-soccer,https://athletics.chapman.edu/sports/mens-soccer
Claremont-M-S,Claremont-Mudd-Scripps Colleges,Sidearm,https://cmsathletics.org/sports/womens-soccer,http://tsl.news/category/sports/claremontmuddscripps/cmsmenssoccer/
La Verne,University of La Verne,Sidearm,https://leopardathletics.com/sports/womens-soccer,https://leopardathletics.com/sports/mens-soccer
Occidental,Occidental College,Sidearm,https://oxyathletics.com/sports/womens-soccer,https://oxyathletics.com/sports/mens-soccer
Pomona-Pitzer,Pomona-Pitzer Colleges,Sidearm,https://sagehens.com/sports/womens-soccer,https://sagehens.com/sports/mens-soccer
Redlands,University of Redlands,Sidearm,https://goredlands.com/sports/womens-soccer,https://www.redlands.edu/news-events-social/news/news-landing-page/2016-news/november/ur-mens-soccer-nabs-sciac-championship/
Whittier,Whittier College,Sidearm,https://wcpoets.com/sports/womens-soccer,https://wcpoets.com/sports/mens-soccer
Colorado Col.,Colorado College,Sidearm,https://uncbears.com/sports/womens-soccer/stats,https://cctigers.com/sports/mens-soccer
Centenary (LA),Centenary College of Louisiana,PrestoSports,https://centenarycyclones.com/sports/womens-soccer,https://centenarycyclones.com/sports/mens-soccer/archives
Austin,Austin College,PrestoSports,None,None
Dallas,University of Dallas,PrestoSports,None,None
Schreiner,Schreiner University,PrestoSports,None,None
Southwestern (TX),Southwestern University,Sidearm,https://buildersports.com/sports/womens-soccer,https://hendrixwarriors.com/sports/mens-soccer/stats/2024/southwestern-university/boxscore/6187
St. Thomas Houston,St. Thomas Houston,PrestoSports,None,https://news.stthom.edu/celt-mens-soccer-adds-ramirez-as-head-coach/
Texas Lutheran,Texas Lutheran University,PrestoSports,None,None
Trinity (TX),Trinity University (Texas),Sidearm,https://trinitytigers.com/sports/womens-soccer,https://trinitytigers.com/sports/mens-soccer
Lyon College,Lyon College,Sidearm,https://lyonscots.com/sports/womens-soccer,https://lyonscots.com/news/2024/8/30/mens-soccer-lyon-college-mens-soccer-drops-1-0-decision-to-mcmurry.aspx
Blackburn,Blackburn College,PrestoSports,None,None
Eureka,Eureka College,PrestoSports,None,None
Greenville,Greenville University,PrestoSports,None,None
Principia,Principia College,Sidearm,https://principiaathletics.com/sports/womens-soccer,https://nwusports.com/news/2024/8/31/mens-soccer-finds-success-against-principia-college-5-0.aspx
Spalding,Spalding University,Sidearm,https://athletics.hanover.edu/sports/womens-soccer/opponent-history/spalding-university-ky-/94,https://spaldingathletics.com/sports/mens-soccer
Fontbonne,Fontbonne University,PrestoSports,https://www.fontbonne.edu/mens-womens-soccer-teams-advance-sliac-tournaments/,None
Webster,Webster University,Sidearm,https://websterathletics.com/sports/womens-soccer,https://websterathletics.com/news/2024/9/1/mens-soccer-mens-soccer-drop-season-opener-to-umsl.aspx
Westminster (MO),Westminster College (Mo.),PrestoSports,https://news.wcmo.edu/tag/womens-soccer/,https://news.wcmo.edu/tag/mens-soccer/
Brockport,College at Brockport,Sidearm,https://gobrockport.com/sports/womens-soccer,https://gobrockport.com/sports/mens-soccer
Buffalo St.,Buffalo State College,Sidearm,https://buffalostateathletics.com/sports/womens-soccer,https://buffalostateathletics.com/sports/mens-soccer
Fredonia,SUNY at Fredonia,Sidearm,https://fredoniabluedevils.com/sports/womens-soccer,https://fredoniabluedevils.com/sports/mens-soccer
Plattsburgh State,Plattsburgh State University,Sidearm,https://gocardinalsports.com/sports/womens-soccer,https://www.mynbc5.com/article/suny-plattsburgh-mens-soccer-opens-season-with-two-6-0-shutout-wins/62025394
SUNY Cortland,"SUNY, Cortland",Sidearm,https://www.cortlandreddragons.com/sports/womens-soccer,https://www.cortlandreddragons.com/sports/mens-soccer
SUNY Geneseo,"SUNY, Geneseo",Sidearm,https://events.geneseo.edu/group/womens_soccer,https://saintsathletics.com/news/2024/8/30/mens-soccer-falls-2-0-in-season-opener-to-suny-geneseo.aspx
SUNY New Paltz,SUNY New Paltz,Sidearm,https://sunynewpaltzwomenssoccercamps.totalcamps.com/,https://nphawks.com/sports/mens-soccer
SUNY Oneonta,SUNY Oneonta,Sidearm,https://oneontaathletics.com/sports/womens-soccer,https://unionathletics.com/news/2024/8/30/mens-soccer-union-opens-season-with-1-0-loss-at-25-suny-oneonta
SUNY Potsdam,"SUNY, Potsdam",Sidearm,https://potsdambears.com/sports/womens-soccer,https://www.potsdam.edu/events/mens-soccer-vs-suny-delhi-0
Suny-Oswego,"SUNY, Oswego",Sidearm,https://oswegolakers.com/sports/womens-soccer,https://oswegolakers.com/sports/mens-soccer
Berea College,Berea College,Sidearm,https://bereaathletics.com/sports/womens-soccer,https://athletics.hanover.edu/sports/mens-soccer/opponent-history/berea-college-ky-/16
Mary Baldwin,Mary Baldwin University,Sidearm,https://marybaldwinathletics.com/news/2024/9/1/womens-soccer-gets-stronger-as-game-progresses-but-drops-1-0-decision-at-wilson-sunday.aspx,https://marybaldwinathletics.com/sports/mens-soccer
Brevard,Brevard College,Sidearm,https://bctornados.com/sports/womens-soccer,https://brevard.edu/mens-soccer-concludes-historic-season-at-ncaa-division-iii-national-championships/
Greensboro,Greensboro College,Sidearm,https://greensborocollegewomenssoccercamps.totalcamps.com/,https://uncgspartans.com/sports/mens-soccer
Methodist,Methodist University,Sidearm,https://mumonarchs.com/sports/womens-soccer,https://smumustangs.com/sports/mens-soccer
North Carolina Wesleyan,North Carolina Wesleyan College,Sidearm,https://ncwsports.com/sports/womens-soccer,https://rmcathletics.com/news/2024/9/1/braithwaites-nine-saves-propels-mens-soccer-over-north-carolina-wesleyan.aspx
Pfeiffer,Pfeiffer University,Sidearm,https://gofalconsports.com/sports/womens-soccer,https://gofalconsports.com/sports/mens-soccer
Southern Virginia,Southern Virginia University,Sidearm,https://knightathletics.com/sports/womens-soccer,https://svu.edu/calendar/southern-virginia-university-mens-soccer-vs-pfeiffer/
Notre Dame (MD),Notre Dame of Maryland University,Sidearm,https://notredamegators.com/sports/womens-soccer,https://notredamegators.com/news/2024/9/1/mens-soccer-drops-hard-fought-home-opener.aspx
Saint-Mary's (MD),St. Mary's College (MD),Sidearm,https://smcmathletics.com/sports/womens-soccer,https://mountathletics.com/sports/mens-soccer
St. Elizabeth,College of Saint Elizabeth,Sidearm,https://seueagles.com/sports/womens-soccer,https://seueagles.com/sports/mens-soccer
Bryn Athyn,Bryn Athyn College,Sidearm,https://brynathynathletics.com/sports/womens-soccer,https://brynathynathletics.com/sports/mens-soccer
Cairn,Cairn University,Sidearm,https://cairn.edu/womens-soccer-summer-id-camp/,https://www.cairnhighlanders.com/sports/mens-soccer
Clarks Summit University,Clarks Summit University,Sidearm,https://gocsudefenders.com/sports/womens-soccer,https://gocsudefenders.com/sports/mens-soccer
Keystone,Keystone College,Sidearm,https://www.gokcgiants.com/sports/womens-soccer,https://www.gokcgiants.com/sports/mens-soccer
Lancaster Bible,Lancaster Bible College,Sidearm,https://lbcchargers.com/sports/womens-soccer,https://lbcchargers.com/sports/mens-soccer
Penn College,Penn College of Technology,Sidearm,https://www.pct.edu/news/article/2024/08/27/penn-college-spotlight-on-womens-soccer,https://www.pct.edu/news/article/2024/08/26/penn-college-spotlight-on-mens-soccer
Penn St.-Abington,Penn State Abington,Sidearm,https://abingtonsports.com/sports/womens-soccer,https://swarthmoreathletics.com/sports/mens-soccer/stats/2024/penn-state-abington/boxscore/29996
Penn St.-Berks,Penn State Berks College,Sidearm,https://berks.psu.edu/feature/womens-soccer-wins-fifth-straight-neac-title,https://ursinusathletics.com/news/2024/9/1/luehrs-scores-four-goals-as-mens-soccer-shutouts-penn-state-berks.aspx
Penn St.-Harrisburg,Penn State Harrisburg,PrestoSports,None,https://marybaldwinathletics.com/news/2024/9/1/mens-soccer-falls-at-penn-state-harrisburg-6-0.aspx
Rosemont,Rosemont College,Sidearm,https://rosemont-ravens.com/sports/womens-soccer,https://www.cnusports.com/sports/mens-soccer/stats/2024/rosemont-college/boxscore/15459
Valley Forge,University of Valley Forge,Sidearm,https://uvfpatriots.com/sports/womens-soccer,https://wilsonphoenix.com/sports/mens-soccer/stats/2023/university-of-valley-forge/boxscore/3106
Wilson,Wilson College,Sidearm,https://warrenwilsonowls.com/sports/womens-soccer,https://lindseyathletics.com/sports/mens-soccer
Emory,Emory University,Sidearm,https://emoryathletics.com/sports/womens-soccer,https://emoryathletics.com/sports/mens-soccer/archives
Brandeis,Brandeis University,Sidearm,https://brandeisjudges.com/sports/womens-soccer,https://brandeisjudges.com/sports/mens-soccer
Washington-St. Louis,Washington University (Missouri),Sidearm,https://washubears.com/sports/womens-soccer,https://gohuskies.com/sports/mens-soccer
New York U.,New York University,Sidearm,https://gonyuathletics.com/sports/womens-soccer,https://gonyuathletics.com/sports/mens-soccer
Case Western Reserve,Case Western Reserve University,Sidearm,https://athletics.case.edu/sports/womens-soccer,https://athletics.case.edu/sports/mens-soccer
Carnegie Mellon,Carnegie Mellon University,PrestoSports,None,None
Wesleyan (GA),Wesleyan College,PrestoSports,https://kwcpanthers.com/sports/womens-soccer,https://kwcpanthers.com/sports/mens-soccer
Mount Holyoke,Mount Holyoke College,PrestoSports,None,None
Smith,Smith College,Sidearm,https://hwsathletics.com/sports/womens-soccer/opponent-history,None
Wellesley,Wellesley College,Sidearm,https://wellesleyblue.com/sports/womens-soccer,None
Saint Benedict,College of Saint Benedict,Sidearm,https://gobennies.com/sports/womens-soccer,None
Bryn Mawr,Bryn Mawr College,Sidearm,https://www.neumannathletics.com/sports/womens-soccer/stats/2024/bryn-mawr-college/boxscore/12087,None
Cedar Crest,Cedar Crest College,Sidearm,https://cedarcrestathletics.com/sports/womens-soccer/archives,None
Hollins,Hollins University,Sidearm,https://hollinssports.com/sports/womens-soccer,None
Sweet Briar,Sweet Briar College,Sidearm,https://vixenathletics.com/sports/womens-soccer,None
Maranatha Baptist,Maranatha Baptist University,Sidearm,https://mbusabercats.com/sports/womens-soccer,https://mbusabercats.com/sports/mens-soccer
Bethany Lutheran,Bethany Lutheran College,Sidearm,https://blc.edu/2024/04/nichols-to-lead-womens-soccer-program/,https://blcvikings.com/sports/mens-soccer
Crown (MN),Crown College,Sidearm,https://athletics.crown.edu/sports/womens-soccer,https://athletics.crown.edu/sports/mens-soccer
Martin Luther,Martin Luther College,Sidearm,https://mlcknights.com/sports/womens-soccer/archives,https://mlc-wels.edu/event/mens-soccer-at-buena-vista/
Minn.-Morris,University of Minnesota-Morris,Sidearm,https://morriscougars.com/sports/womens-soccer,https://morris.umn.edu/campus-events/university-minnesota-morris-mens-soccer-northland-college-0
North Central (MN),North Central University,Sidearm,https://northcentralcardinals.com/sports/womens-soccer,https://northcentralcardinals.com/sports/mens-soccer
Northwestern-St. Paul,University of Northwestern-St. Paul,Sidearm,https://unweagles.com/sports/womens-soccer,https://unweagles.com/sports/mens-soccer
Northland,Northland College,Sidearm,https://northlandcollegesports.com/sports/womens-soccer,https://northlandcollegesports.com/sports/mens-soccer
Wis.-Superior,University of Wisconsin-Superior,Sidearm,https://uwsyellowjackets.com/sports/womens-soccer,https://uwsyellowjackets.com/sports/mens-soccer
Wis.-Eau Claire,University of Wisconsin-Eau Claire,Sidearm,https://blugolds.com/sports/womens-soccer,https://blugolds.com/sports/mens-soccer
Wis.-La Crosse,University of Wisconsin-La Crosse,Sidearm,https://uwlathletics.com/sports/womens-soccer,None
Wis.-Oshkosh,University of Wisconsin-Oshkosh,Sidearm,https://womenssoccer.uwoshkoshsportscamps.com/girls-college-prep-soccer-clinic.cfm,https://uwoshkoshtitans.com/sports/mens-soccer
Wis.-Platteville,University of Wisconsin-Platteville,PrestoSports,None,None
Wis.-River Falls,University of Wisconsin-River Falls,Sidearm,https://uwrfsports.com/sports/womens-soccer,http://uwrfmenssoccercamps.com/
Wis.-Stevens Point,Univ. of Wisconsin-Stevens Point,Sidearm,https://athletics.uwsp.edu/sports/womens-soccer,https://athletics.uwsp.edu/sports/mens-soccer
Wis.-Stout,University of Wisconsin-Stout,Sidearm,https://www.uwstout.edu/support-womens-soccer,https://connect.uwstout.edu/menssoccer/home/
Wis.-Whitewater,University of Wisconsin-Whitewater,Sidearm,https://uwwsports.com/sports/womens-soccer,https://uwwsports.com/sports/mens-soccer
Cal Poly Humboldt,"California State Polytechnic University, Humboldt",Sidearm,https://humboldtathletics.com/sports/womens-soccer,https://humboldtathletics.com/sports/mens-soccer
Simon Fraser,Simon Fraser University,Sidearm,https://sfuathletics.com/sports/womens-soccer,https://nnusports.com/sports/mens-soccer/opponent-history/simon-fraser-university-b-c-/13
Cheyney,Cheyney University of Pennsylvania,Sidearm,None,https://goeasterneagles.com/sports/mens-soccer/opponent-history/cheyney-university-of-pennsylvania/284
Clarke,Clarke University,PrestoSports,https://clarkathletics.com/sports/womens-soccer,https://clarkathletics.com/sports/mens-soccer
Dominican (Cal.),Dominican University of California,Sidearm,https://dominicanathletics.com/sports/womens-soccer,https://www.dominican.edu/events/mens-soccer-vs-uc-berkeley
Eastern Ore.,Eastern Oregon University,Sidearm,https://eousports.com/sports/womens-soccer,https://eousports.com/sports/mens-soccer
